id,nombre_comuna
1,Iquique
2,Alto Hospicio
3,Pozo Almonte
4,Camina
5,Colchane
6,Huara
7,Pica
8,Antofagasta
9,Mejillones
10,Sierra Gorda
11,Taltal
12,Calama
13,Ollague
14,San Pedro de Atacama
15,Tocopilla
16,Maria Elena
17,Copiapo
18,Caldera
19,Tierra Amarilla
20,Chanaral
21,Diego de Almagro
22,Vallenar
23,Alto del Carmen
24,Freirina
25,Huasco
26,La Serena
27,Coquimbo
28,Andacollo
29,La Higuera
30,Paiguano
31,Vicuna
32,Illapel
33,Canela
34,Los Vilos
35,Salamanca
36,Ovalle
37,Combarbala
38,Monte Patria
39,Punitaqui
40,Rio Hurtado
41,Valparaiso
42,Casablanca
43,Concon
44,Juan Fernandez
45,Puchuncavi
46,Quintero
47,Vina del Mar
48,Isla de Pascua
49,Los Andes
50,Calle Larga
51,Rinconada
52,San Esteban
53,La Ligua
54,Cabildo
55,Papudo
56,Petorca
57,Zapallar
58,Quillota
59,Calera
60,Hijuelas
61,La Cruz
62,Nogales
63,San Antonio
64,Algarrobo
65,Cartagena
66,El Quisco
67,El Tabo
68,Santo Domingo
69,San Felipe
70,Catemu
71,Llaillay
72,Panquehue
73,Putaendo
74,Santa Maria
75,Quilpue
76,Limache
77,Olmue
78,Villa Alemana
79,Rancagua
80,Codegua
81,Coinco
82,Coltauco
83,Donihue
84,Graneros
85,Las Cabras
86,Machali
87,Malloa
88,Mostazal
89,Olivar
90,Peumo
91,Pichidegua
92,Quinta de Tilcoco
93,Rengo
94,Requinoa
95,San Vicente
96,Pichilemu
97,La Estrella
98,Litueche
99,Marchihue
100,Navidad
101,Paredones
102,San Fernando
103,Chepica
104,Chimbarongo
105,Lolol
106,Nancagua
107,Palmilla
108,Peralillo
109,Placilla
110,Pumanque
111,Santa Cruz
112,Talca
113,Constitucion
114,Curepto
115,Empedrado
116,Maule
117,Pelarco
118,Pencahue
119,Rio Claro
120,San Clemente
121,San Rafael
122,Cauquenes
123,Chanco
124,Pelluhue
125,Curico
126,Hualane
127,Licanten
128,Molina
129,Rauco
130,Romeral
131,Sagrada Familia
132,Teno
133,Vichuquen
134,Linares
135,Colbun
136,Longavi
137,Parral
138,Retiro
139,San Javier
140,Villa Alegre
141,Yerbas Buenas
142,Concepcion
143,Coronel
144,Chiguayante
145,Florida
146,Hualqui
147,Lota
148,Penco
149,San Pedro de la Paz
150,Santa Juana
151,Talcahuano
152,Tome
153,Hualpen
154,Lebu
155,Arauco
156,Canete
157,Contulmo
158,Curanilahue
159,Los Alamos
160,Tirua
